epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,cdc_hospitalized,cdc_flu_hosp,Stage_One_Doses,Stage_Two_Doses,covidnet,Observed Number,Excess Estimate,death_jhu_cumulative,death_jhu_incidence,positiveIncr_cumulative,positiveIncr,cdc_negativeIncr,cdc_positiveIncr,cdc_total_resultsIncr
202119,ME,23,10.0,16.428571428571427,122.14285714285714,2.142857142857143,-20.857142857142858,2.5714285714285716,109.0,0.0,789980.0,566984.0,,287.6666666666667,3.333333333333333,801.0,6.0,65524.0,1773.0,40591.0,1087.0,41705.0
202120,ME,23,13.285714285714286,18.142857142857142,144.14285714285714,7.142857142857143,-19.714285714285715,2.4285714285714284,108.0,0.0,824404.0,605485.0,,331.3333333333333,45.33333333333334,819.0,18.0,66863.0,1339.0,35253.0,648.0,35938.0
202121,ME,23,17.142857142857142,21.571428571428573,164.42857142857142,13.714285714285714,-20.0,1.8571428571428572,87.0,0.0,848248.0,637389.0,,309.3333333333333,27.33333333333333,825.0,6.0,67658.0,795.0,25592.0,505.0,26134.0
202122,ME,23,18.571428571428573,21.142857142857142,171.28571428571428,16.0,-24.285714285714285,3.4285714285714284,52.0,0.0,861282.0,653649.0,,290.6666666666667,8.666666666666666,839.0,14.0,68155.0,497.0,19406.0,355.0,19788.0
202123,ME,23,23.428571428571427,27.428571428571427,209.0,26.142857142857142,-17.285714285714285,1.1428571428571428,45.0,0.0,872065.0,676167.0,,321.0,39.0,845.0,6.0,68541.0,386.0,18142.0,263.0,18424.0
202124,ME,23,24.714285714285715,28.142857142857142,219.0,31.0,-19.714285714285715,1.4285714285714286,37.0,0.0,882698.0,702976.0,,292.3333333333333,12.333333333333336,854.0,9.0,68794.0,253.0,15259.0,191.0,15464.0
202125,ME,23,26.571428571428573,27.0,246.42857142857142,35.42857142857143,-21.142857142857142,1.2857142857142858,31.0,0.0,888624.0,712755.0,,313.6666666666667,33.666666666666664,858.0,4.0,68964.0,170.0,13560.0,121.0,13691.0
202126,ME,23,29.428571428571427,32.42857142857143,251.14285714285714,40.42857142857143,-22.0,1.5714285714285714,33.0,0.0,896684.0,728214.0,,313.3333333333333,31.33333333333333,860.0,2.0,69099.0,135.0,18424.0,112.0,18551.0
202127,ME,23,29.428571428571427,30.714285714285715,291.0,41.714285714285715,-28.428571428571427,3.0,29.0,0.0,901386.0,733826.0,,317.3333333333333,35.333333333333336,862.0,2.0,69220.0,121.0,12139.0,122.0,12266.0
202128,ME,23,32.57142857142857,34.142857142857146,274.57142857142856,45.42857142857143,-19.571428571428573,1.2857142857142858,32.0,0.0,906496.0,738818.0,,303.0,23.0,882.0,20.0,69476.0,256.0,12761.0,242.0,13015.0
202129,ME,23,31.285714285714285,33.285714285714285,263.14285714285717,48.0,-19.142857142857142,1.7142857142857142,46.0,0.0,912272.0,742613.0,,283.6666666666667,4.666666666666667,897.0,15.0,69905.0,429.0,14860.0,273.0,15142.0
202130,ME,23,32.142857142857146,34.142857142857146,269.14285714285717,47.857142857142854,-18.428571428571427,1.5714285714285714,60.0,0.0,919882.0,746555.0,,284.6666666666667,4.666666666666667,900.0,3.0,70463.0,558.0,13938.0,314.0,14261.0
