epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,cdc_hospitalized,cdc_flu_hosp,Stage_One_Doses,Stage_Two_Doses,covidnet,Observed Number,Excess Estimate,death_jhu_cumulative,death_jhu_incidence,positiveIncr_cumulative,positiveIncr,cdc_negativeIncr,cdc_positiveIncr,cdc_total_resultsIncr,ili
202119,WV,54,1.285714286,11.42857143,57.71428571,8.857142857,-17.14285714,2.285714286,212,2,674232,584294,,472,25,2757,31,158230,2229,31609,2005,33673,0.689212
202120,WV,54,1.571428571,11.28571429,71.57142857,10.14285714,-16.28571429,2,207,6,699247,596994,,454.6666667,14,2772,15,159735,1505,27769,1776,29601,0.261175
202121,WV,54,3,12.85714286,69.85714286,15.42857143,-17.28571429,2.428571429,172,5,721213,606813,,450,12.33333333,2792,20,161287,1552,22451,1364,23848,0.255428
202122,WV,54,3,14,92.14285714,15.85714286,-24.57142857,3.142857143,134,0,734988,614796,,478.6666667,40.66666667,2813,21,162232,945,20044,752,20812,0.30037
202123,WV,54,2.428571429,12.42857143,76.14285714,21.42857143,-20.42857143,2.714285714,117,0,748911,629704,,465,30,2849,36,162939,707,19468,649,20142,0.286462
202124,WV,54,3.142857143,12.71428571,88.71428571,20.71428571,-21.85714286,2.285714286,92,5,758671,645678,,474.3333333,39.33333333,2863,14,163382,443,18722,504,19242,0.243773
202125,WV,54,1.857142857,11.57142857,94.42857143,17.85714286,-22.14285714,2,67,0,771417,659263,,439.6666667,6.666666667,2876,13,163804,422,16978,376,17365,0.306108
202126,WV,54,4.571428571,16.42857143,95.14285714,22.85714286,-22.28571429,1.714285714,54,0,785285,670032,,458.6666667,25.66666667,2899,23,164149,345,16122,317,16448,0.149124
202127,WV,54,1.142857143,14.42857143,106,17.85714286,-27.28571429,3.142857143,63,0,817472,692744,,467.3333333,36.33333333,2908,9,164465,316,17836,539,18384,0.319022
202128,WV,54,3.857142857,13.85714286,83.14285714,22.71428571,-20.57142857,2.285714286,59,6,819403,695122,,406,0,2919,13,164933,468,17392,512,17926,0.274753
202129,WV,54,3.857142857,14.42857143,100.1428571,22.28571429,-20.42857143,1.857142857,81,1,821791,697335,,438,12,2936,17,165702,769,20655,909,21585,0.311589
202130,WV,54,2.857142857,15,85.71428571,22.42857143,-20.42857143,2.142857143,147,1,824654,699470,,461,33,2946,10,167016,1314,19980,1415,21404,0.466651
202131,WV,54,4.714285714,17.57142857,88.42857143,22,-20.42857143,1.857142857,235,2,828065,701437,,516.3333333,89.33333333,2965,19,169162,2146,28466,2449,30946,0.45045
202132,WV,54,3.142857143,14.85714286,75,18.71428571,-20.71428571,2.857142857,302,4,832076,703868,,501.3333333,75.33333333,2976,11,171997,2835,35930,3685,39674,0.301205
202133,WV,54,3.285714286,12.85714286,60.85714286,12.14285714,-20.14285714,2.857142857,436,2,836429,706322,,498,72,3008,32,177533,5536,45733,5496,51277,0.443252
202134,WV,54,0.571428571,11.57142857,63.14285714,6.142857143,-19.14285714,2.571428571,558,2,841330,709184,,532.3333333,105.3333333,3064,56,186293,8760,60588,8316,69001,1.15132
202135,WV,54,-0.142857143,10.85714286,57.85714286,7.142857143,-19.85714286,3.142857143,666,4,846190,712319,,586,156,3124,60,196484,10191,72129,10485,82763,0.823742
202136,WV,54,-0.857142857,9.857142857,70.28571429,5,-24.14285714,4,651,3,850114,714876,,590.6666667,157.6666667,3207,83,208045,11561,77421,12239,89900,0.704523
202137,WV,54,0.142857143,10.57142857,63.57142857,11.14285714,-18,2.714285714,755,2,855723,718345,,600.3333333,163.3333333,3370,163,221513,13468,78530,12674,91384,0.681007
202138,WV,54,-1.571428571,7.571428571,58,7.857142857,-16,2.857142857,758,4,860044,721961,,623.3333333,180.3333333,3523,153,233426,11913,81406,12557,94158,0.438498
