epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,apple_mobility,cdc_hospitalized,cdc_flu_hosp,Stage_One_Doses,Stage_Two_Doses,smoothed_wcovid_vaccinated,smoothed_wtested_positive_14d,smoothed_wwearing_mask_7d,smoothed_wspent_time_indoors_1d,covidnet,Observed Number,Excess Estimate,death_jhu_cumulative,death_jhu_incidence,fb_survey_wcli,fb_survey_wili,positiveIncr_cumulative,positiveIncr,cdc_negativeIncr,cdc_positiveIncr,cdc_total_resultsIncr
202038,ID,16,1,8.285714286,148.2857143,11,-21.14285714,2.142857143,217.2471429,84,,,,,,,,,314,32,441,26,0.3484849143,0.2621904143,37247,2080,23522,2687,26238
202039,ID,16,-0.1428571429,7.571428571,144.7142857,8.285714286,-19.71428571,2.285714286,200.8714286,141,,,,,,,,,283.6666667,5.333333333,460,19,0.9010376429,0.9354850429,40296,3049,23224,3146,26433
202040,ID,16,0.4285714286,8.285714286,133.5714286,10.42857143,-20,2.285714286,194.6014286,152,,,,,,,,,317.6666667,31.66666667,480,20,1.0154217,1.081427529,43702,3406,22658,3540,26239
202041,ID,16,-0.8571428571,7.428571429,121.1428571,9.714285714,-20.57142857,2.428571429,193.1314286,153,0,,,,,,,,291.6666667,8.666666667,507,27,1.543347057,1.643571557,47701,3999,23562,4386,27979
202042,ID,16,-2.571428571,5.428571429,104.2857143,5.428571429,-21.14285714,3.428571429,188.01,191,0,,,,,,,,313.6666667,26.66666667,529,22,1.695879914,1.679016143,52582,4881,25514,5101,30662
202043,ID,16,-3.571428571,3.428571429,75.57142857,2.285714286,-20.14285714,3.857142857,178.8771429,248,1,,,,,,,,327,39,572,45,1.159928329,1.273193486,58694,6112,29462,6866,36410
202044,ID,16,-3.857142857,4.285714286,61.28571429,-2.142857143,-19.71428571,4.285714286,166.6042857,287,0,,,,,,,,328,41.33333333,629,57,1.641965271,1.605056729,64608,5914,28795,7239,36086
202045,ID,16,-5,1.285714286,60.85714286,-6.285714286,-20.28571429,5.142857143,151.0828571,313,1,,,,,,,,339.6666667,48.66666667,683,54,1.7844337,1.65568005,72312,7704,31975,10341,42365
202046,ID,16,-8.285714286,-2,8.571428571,-13.57142857,-21.57142857,7,133.76,369,0,,,,,,,,382.3333333,88.33333333,759,76,2.166213386,2.297251286,81317,9005,34665,14221,48950
202047,ID,16,-8.285714286,0,20.57142857,-10.28571429,-20.14285714,6.714285714,136.01,381,0,,,,,,,,360.6666667,65.66666667,847,88,1.628955971,1.635032186,90834,9517,39547,15811,55412
202048,ID,16,-14,3.285714286,29.71428571,-15.71428571,-37.85714286,10.14285714,126.3142857,438,0,,,,,,,,391,94,913,66,1.844425686,1.8675668,99660,8826,33255,12567,45873
202049,ID,16,-7,0,21.28571429,-11.57142857,-19.28571429,6.571428571,131.9457143,440,1,,,,,,,,354.3333333,66,1032,119,1.317282457,1.458643743,109705,10045,35459,12838,48412
202050,ID,16,-7,1.714285714,19.14285714,-15.71428571,-18.57142857,6.714285714,131.5985714,424,1,,,,,,,,340,48.66666667,1169,137,1.785892429,1.819762186,120632,10927,37488,10521,48082
202051,ID,16,-4.714285714,5.428571429,8.571428571,-10.28571429,-19.14285714,6.714285714,136.8685714,401,3,2306,,,,,,,360.3333333,60,1275,106,1.014036443,1.035116629,129069,8437,39995,8271,48377
202052,ID,16,-8.857142857,7.714285714,24.14285714,-16,-38.57142857,9.571428571,124.6628571,305,1,9673,,,,,,,357.3333333,54.66666667,1354,79,1.641738643,1.560092371,135787,6718,23769,5614,29428
202053,ID,16,-7.714285714,-0.4285714286,22.14285714,-15.85714286,-37.14285714,10.57142857,134.9771429,339,5,18527,,,26.5181465,,,,322,26.66666667,1448,94,1.237026943,1.259807543,142199,6412,22975,7086,30101
202101,ID,16,-7.857142857,-2.142857143,6.714285714,-15,-18.71428571,7.142857143,135.6528571,327,2,26760,2646,6.783906475,26.05252439,,,,363,54,1528,80,0.9791057429,0.9450751857,149235,7036,34491,7500,42045
202102,ID,16,-9.571428571,-4.285714286,9.428571429,-17.14285714,-19.42857143,6.714285714,134.9271429,256,2,37788,10152,7.694661229,25.76805244,,,,322.6666667,18,1605,77,1.402997829,1.3978207,155276,6041,31214,5431,36779
202103,ID,16,-10.71428571,-5.857142857,16.28571429,-16.71428571,-20.57142857,6.714285714,137.2314286,177,0,54895,13732,9.353226286,23.24979969,,,,317.6666667,15.33333333,1668,67,0.9621334143,1.020632029,159325,4049,32396,3882,36336
202104,ID,16,-12.42857143,-7.285714286,7,-17.14285714,-18.14285714,6.428571429,134.1128571,173,0,73770,20301,14.02331893,14.76728694,,,,270.3333333,0,1725,57,0.6560210286,0.6578917571,162683,3358,30947,3078,34108
202105,ID,16,-8.428571429,-2.142857143,17.71428571,-12.85714286,-17.14285714,5.571428571,139.6585714,153,0,120147,32079,18.02207231,12.4760339,,,,314.6666667,9,1767,44,0.9957099429,0.9886546429,165209,2526,29346,2811,32247
202106,ID,16,-12.42857143,-1.142857143,6.571428571,-14.42857143,-18.28571429,6.285714286,137.0514286,166,0,159796,50569,21.79206461,16.00218161,79.53634156,,,296.6666667,0,1803,36,1.101233029,1.1121008,167483,2274,26227,2100,28389
202107,ID,16,-9.857142857,-1.571428571,0.2857142857,-14.42857143,-21,7.142857143,136.1628571,113,0,211625,81497,27.0350562,18.61642263,79.8217111,,,288.6666667,0,1826,23,1.107360929,1.096120057,169150,1667,24961,1680,26671
202108,ID,16,-6.571428571,-1.285714286,8.142857143,-8.714285714,-16.71428571,5.714285714,144.5028571,129,0,249980,114807,29.85645141,15.2479521,77.93866491,,,293.6666667,0,1860,34,0.6172753143,0.6203895286,171140,1990,28519,1618,30186
202109,ID,16,-1.285714286,3.571428571,40.57142857,-0.4285714286,-16.42857143,4,154.6,109,0,289977,150186,31.60021327,7.963996357,78.68925363,47.20335128,,299.3333333,0,1879,19,1.196572914,1.177134757,172931,1791,26279,1515,27862
202110,ID,16,0,4,54.42857143,1.428571429,-16.14285714,3.714285714,155.135,116,1,332271,190456,35.48310969,16.05543787,75.6290271,46.26968253,,305.6666667,0,1910,31,0.8194436571,0.8194436571,175236,2305,26445,2043,28534
202111,ID,16,7.142857143,6.714285714,65.71428571,7,-16.71428571,2.857142857,171.9485714,133,3,382524,225158,42.11075349,18.4075732,77.4185292,46.00616851,,286.3333333,0,1941,31,1.172154257,1.123212586,177420,2184,28534,1716,30290
202112,ID,16,4.428571429,3.285714286,47.42857143,10.71428571,-23.71428571,3.857142857,170.32,142,0,439001,258738,49.67213064,22.91923003,75.80032607,47.81643609,,296,0,1954,13,1.248799186,1.278616486,179428,2008,23983,1264,25291
202113,ID,16,7.142857143,12.28571429,86.42857143,12,-17.71428571,2.285714286,174.0142857,115,0,487864,298639,51.40596647,12.49588179,74.00555246,47.63455096,,315,12.66666667,1966,12,1.025910871,1.000508114,181181,1753,24391,1431,25871
202114,ID,16,3.714285714,9.142857143,81,12.71428571,-18.42857143,2.285714286,182.4,124,6,537311,336545,57.12705144,12.15251524,74.27362767,47.02773351,,333,30,1993,27,0.7988102571,0.8103048429,183153,1972,24386,1216,25637
202115,ID,16,6.428571429,8.857142857,91.42857143,14.71428571,-16.71428571,1.857142857,180.1314286,110,0,567527,374803,62.41886384,,74.25098757,49.07246736,,270.3333333,0,2017,24,0.8620438714,0.9084336714,184769,1616,22699,1125,23870
202116,ID,16,6.714285714,10.42857143,100.4285714,15.14285714,-16,1.857142857,181.3442857,106,0,591197,420006,64.88342337,,71.32057114,50.06715279,,276,0,2031,14,0.6939908571,0.5331431429,186183,1414,22716,1022,23781
202117,ID,16,6.571428571,10.85714286,101.7142857,17.14285714,-15.57142857,1.714285714,184.4628571,109,0,610267,457884,66.17420029,,69.06029019,49.59840389,,269.6666667,0,2046,15,0.7258147143,0.6141028143,187656,1473,21330,999,22347
202118,ID,16,10.42857143,18.28571429,121.2857143,18.42857143,-15.28571429,1,194.0428571,91,0,625950,486216,65.19665563,,66.10392589,49.97489999,,271,0,2061,15,0.7667182143,0.7667182143,188788,1132,18696,843,19583
202119,ID,16,10,18.42857143,138.8571429,20.14285714,-16.28571429,0.4285714286,197.5471429,89,0,640088,511867,67.38829387,,64.00051867,51.1724996,,281,0,2069,14,0.7186557143,0.6640587857,189908,1120,18290,842,19152
202120,ID,16,9.428571429,17.14285714,128.7142857,25.57142857,-15,1.285714286,199.0957143,99,0,655579,529486,70.29932096,,58.92403983,52.74099519,,320.3333333,28.33333333,2080,11,1.076977357,1.100899186,191068,1160,17600,940,18569
202121,ID,16,11,19.71428571,142,30.85714286,-16.42857143,0.7142857143,206.97,93,0,669785,541874,70.67638433,,50.35328767,53.8375274,,316.3333333,25.33333333,2090,10,1.476353457,1.561341914,192012,944,16673,783,17479
202122,ID,16,13,25.14285714,227.5714286,32.28571429,-25.42857143,1.142857143,216.9914286,78,1,678100,551171,72.1123667,,42.80467997,53.45400369,,288,1.333333333,2101,11,0.9116400429,0.8656350857,192795,783,15456,735,16219
202123,ID,16,12.85714286,22.28571429,186.4285714,37.14285714,-19,0.8571428571,226.3471429,75,0,686860,560755,70.72928756,,33.76440941,56.54538677,,319,31,2116,17,0.9828380714,0.9616438571,193515,720,16294,870,17205
202124,ID,16,14.28571429,21.85714286,235.8571429,41.71428571,-21.57142857,0.2857142857,240.2285714,70,0,696985,579747,73.5469094,,27.2905057,56.01530763,,312,26,2122,6,0.6920626571,0.6692034143,194006,491,15521,661,16204
202125,ID,16,14.28571429,18,231.1428571,45.14285714,-20.85714286,0,250.27,82,1,702858,586727,75.47304619,,24.25941657,57.72118571,,289.3333333,8,2145,23,0.8139762,0.96782335,194690,684,13605,583,14215
202126,ID,16,15.14285714,23.85714286,223.4285714,47,-22.28571429,0,248.9457143,56,0,709532,596436,74.56484411,,23.96167234,55.75306103,,310.3333333,26.33333333,2158,13,0.6116831714,0.6117686,195172,482,12918,660,13602
202127,ID,16,13.28571429,22.42857143,251,43.57142857,-27.42857143,1.714285714,252.9828571,62,0,715023,601099,71.6382729,,18.67901016,56.25244059,,288,6,2165,7,1.3203498,1.245863571,195831,659,14072,860,14949
202128,ID,16,14.57142857,19.57142857,217.5714286,45.71428571,-19.85714286,0.8571428571,249.5971429,90,0,720982,605562,72.22054189,,16.15349727,55.73456953,,295.6666667,13.66666667,2173,8,0.8999664286,0.9560363286,196856,1025,14898,1297,16222
202129,ID,16,14.85714286,19.57142857,217.7142857,46.71428571,-20.28571429,0.8571428571,249.8114286,109,0,726687,609120,73.2583589,,15.6376108,55.02087029,,317,38,2183,10,0.3825668857,0.3825668857,198296,1440,16787,1890,18707
202130,ID,16,13.14285714,19,200.1428571,43.71428571,-20,1.285714286,240.1414286,167,0,735615,612839,72.34138746,,18.52344433,51.70293351,,330.3333333,52.33333333,2197,14,1.240106243,1.168015657,200484,2188,18738,3413,22184
202131,ID,16,13.14285714,19.28571429,180.8571429,43.28571429,-20.42857143,1.428571429,236.9685714,200,0,746031,616951,71.71050781,25.2891757,23.48858357,53.8202013,,324.3333333,47.33333333,2217,20,1.544553357,1.544553357,204091,3607,23984,5176,29212
202132,ID,16,13,19.14285714,181.8571429,41.14285714,-20.42857143,1.285714286,236.0214286,292,1,756750,621562,71.86665601,15.86201217,26.95747131,52.29915386,,316.6666667,38.66666667,2245,28,0.9899432286,0.8863821286,208054,3963,29054,6937,36042
202133,ID,16,13.71428571,17.57142857,143.5714286,35.71428571,-20,1.428571429,235.1442857,345,1,770533,627604,75.57246951,13.9224202,31.76740466,51.73467986,,330.6666667,50.66666667,2283,38,1.521993286,1.603572857,212939,4885,29748,7981,37802
